"lat","long","x","y","FID"
-4.316667,-44.666667,-44.666667,-4.316667,0
-13.83,-58.92,-58.92,-13.83,0
-11.024918,-58.380441,-58.380441,-11.024918,0
-11.025,-58.380556,-58.380556,-11.025,0
-4.244292,-69.945893,-69.945893,-4.244292,0
-4.287311,-70.30503,-70.30503,-4.287311,0
-4.287222,-70.305,-70.305,-4.287222,0
-2.50117,-66.101475,-66.101475,-2.50117,0
-2.501111,-66.101389,-66.101389,-2.501111,0
-15.666667,-52.333333,-52.333333,-15.666667,0
-1.028985,-52.609561,-52.609561,-1.028985,0
-1.028889,-52.609444,-52.609444,-1.028889,0
-1.284992,-48.455522,-48.455522,-1.284992,0
-1.285,-48.455556,-48.455556,-1.285,0
2.57,-52.52,-52.52,2.57,0
-2.57,-52.52,-52.52,-2.57,0
2.34,-52.31,-52.31,2.34,0
2.56667,-52.51667,-52.51667,2.56667,0
-2.566667,-52.516667,-52.516667,-2.566667,0
2.566667,-52.516667,-52.516667,2.566667,0
-1.453489,-48.476548,-48.476548,-1.453489,0
-1.453611,-48.476667,-48.476667,-1.453611,0
-3.1022,-67.9397,-67.9397,-3.1022,0
-2.6364,-54.9372,-54.9372,-2.6364,0
-1.4558,-48.5044,-48.5044,-1.4558,0
-1.75,-48.833333,-48.833333,-1.75,0
-2.5330734,-44.3030252,-44.3030252,-2.5330734,0
-2.529722,-44.302778,-44.302778,-2.529722,0
-5,-63,-63,-5,0
-6.987778,-62.683889,-62.683889,-6.987778,0
-6.987642,-62.683954,-62.683954,-6.987642,0
-3.1052812,-60.0262055,-60.0262055,-3.1052812,0
-3.101944,-60.025,-60.025,-3.101944,0
-9.333333,-69,-69,-9.333333,0
-9,-70,-70,-9,0
-9.33,-69,-69,-9.33,0
-9.33333,-69,-69,-9.33333,0
-3.727227,-53.986773,-53.986773,-3.727227,0
-3.727222,-53.986667,-53.986667,-3.727222,0
-9.12,-62.17,-62.17,-9.12,0
-1.881111,-55.636111,-55.636111,-1.881111,0
-3.601317,-52.4957,-52.4957,-3.601317,0
-4.316667,-44.67,-44.67,-4.316667,0
-1.75,-48.83,-48.83,-1.75,0
-0.416667,-57.33,-57.33,-0.416667,0
-1.966667,-52.97,-52.97,-1.966667,0
-9.116667,-72.7,-72.7,-9.116667,0
-12.416667,-64.23,-64.23,-12.416667,0
-3.416667,-48.62,-48.62,-3.416667,0
-8,-50.17,-50.17,-8,0
0.816667,-63.32,-63.32,0.816667,0
-9.452889,-55.82,-55.82,-9.452889,0
-1,-55.53,-55.53,-1,0
-9.835556,-56.07,-56.07,-9.835556,0
-9.270833,-64.39,-64.39,-9.270833,0
-5.873667,-61.38,-61.38,-5.873667,0
-9.610833,-65.47,-65.47,-9.610833,0
-9.963028,-67.867951,-67.867951,-9.963028,0
-8.500556,-48.600833,-48.600833,-8.500556,0
-4.244167,-69.945833,-69.945833,-4.244167,0
-9.963056,-67.868056,-67.868056,-9.963056,0
-13.1488258,-55.4633258,-55.4633258,-13.1488258,0
-1.455833,-48.490278,-48.490278,-1.455833,0
-0.45,-52.85,-52.85,-0.45,0
-1.416667,-48.45,-48.45,-1.416667,0
-2.883334,-59.966667,-59.966667,-2.883334,0
