lon;lat
-51,951944;1,064167
-51,937222;1,070556
-51,938055;1,041111
-51,941389;1,089722
-51,920556;1,229167
-43,54238;-23,050858
-44,854338;-2,706842
-48,691111;-25,625
-43,714167;-20,101944
-43,198333;-22,793611
-47,903664;-15,790887
-35,155242;-7,041994
-52,157489;-28,532637
-50,659444;-25,534722
-50,660278;-25,535278
-50,659167;-25,534444
-60,691111;-9,104167
-67,809819;-9,974025
-43,449903;-22,903597
-48,870237;-26,380264
-35,32882;-7,906701
-43,450537;-22,903513
-40,689716;-9,339838
-37,50279;-4,628447
-46,528442;-23,170309
-35,223515;-5,930694
-59,4625;-8,938611
-46,528378;-23,170027
-51,718144;-17,921817
-51,716411;-17,934586
-51,716411;-17,934586
-36,623619;-9,421239
-36,624095;-9,421775
-50,434775;-26,891726
-38,716667;-3,9
-41,399722;-14,4
-35,741389;-9,554167
-36,227836;-10,086814
-47,407366;-22,589923
-59,311418;-15,229225
-48,504446;-27,716832
-46,635341;-23,056918
-56,054495;-15,589515
-38,70587;-7,391574
-43,53448;-23,010053
-43,227778;-22,966389
-38,50624;-7,148489
-40,59;-13,77
-42,299722;-9
-40,229722;-13,949722
-40,68;-14,58
-44,268056;-2,498111
-43,781844;-20,263911
-42,965574;-22,452167
-46,932637;-22,730203
-38,939778;-4,211383
-41,58;-8,819722
-36,66;-12,6
-63,02;-9,2125
-48,004903;-23,873446
-47,461259;-20,250485
-47,445353;-20,216033
-47,464388;-20,252847
-49,359722;-20,785
-48,602613;-27,126999
-40,124444;-15,512778
-40,124444;-15,512778
-42,839722;-13,32
-40,86;-8,1
-40,68;-10,26
-60,043495;-3,059602
-48,480074;-27,682493
-49,80895;-25,416817
-45,9981;-14,831713
-45,998113;-14,831638
-39,331944;-17,123333
-61,544114;-2,022522
-42,585278;-22,93
-41,04;-7,02
-41,04;-7,74
-47,298782;-23,139354
-43,666313;-20,626588
-46,630833;-23,480278
-40,470347;-9,398525
-37,292723;-5,851886
-56,306796;-19,965203
-42,873175;-20,758904
-40,548708;-9,325711
-41,949722;-21,904722
-43,669722;-19,880833
-46,874445;-23,577442
-46,567253;-23,58801
-46,843609;-23,024842
-46,995817;-23,635092
-46,843697;-23,024839
-43,951896;-20,259576
-41,385833;-21,783889
-51,938072;-23,403836
-51,940997;-23,403539
-48,740344;-28,350539
-40,067075;-19,152575
-56,865023;-16,749361
-54,56258;-20,502831
-43,051452;-22,554125
-38,499202;-7,143805
-46,976058;-23,839189
-47,267607;-14,028179
-38,683649;-4,033537
-38,683649;-4,033537
-43,180556;-15,832778
-45,917194;-20,490972
-56,062944;-15,607833
-47,870332;-15,771469
-48,405817;-27,483392
-48,150748;-21,760556
-40,611137;-19,780908
-40,611162;-19,780964
-43,666142;-20,626577
-44,172979;-20,001827
-39,551707;-4,342033
-38,559221;-7,854318
-51,942019;-23,4038
-51,941492;-23,403561
-51,941714;-23,40385
-52,575492;-23,679392
-51,9375;-23,404611
-51,938428;-23,405236
-51,940161;-23,405694
-41,880278;-6,935
-56,711526;-16,512341
-56,744172;-16,501948
-37,385708;-7,265558
-57,364038;-18,458965
-56,023777;-19,910024
-47,100875;-22,862965
-51,083245;-0,007627
-47,802853;-15,828528
-47,100524;-22,862988
-41,731801;-18,811903
-43,224722;-22,971944
-47,599159;-15,464985
-54,53814;-19,444907
-57,029;-19,579637
-43,801792;-20,022321
-47,608917;-15,453695
-35,29171;-6,420218
-37,304296;-6,146567
-46,570336;-21,839494
-67,427303;-8,764976
-47,608917;-15,453699
-47,598491;-15,461907
-47,775695;-16,114161
-48,808975;-28,439897
-43,312566;-22,702235
-47,807777;-19,218749
-46,533302;-23,481895
-38,77143;-7,469744
-40,351944;-10,650278
-40,351944;-10,650278
-55,31221;-29,02574
-48,5075;-19,641667
-46,321003;-23,961381
-56,6762;-16,457823
-37,368208;-7,263373
-46,411615;-23,928367
-50,382107;-25,869359
-48,519112;-25,51096
-38,195614;-6,381354
-38,490325;-6,880549
-38,63402;-6,84855
-60,944444;-11,815833
-61,048056;-11,755833
-42,1632;-15,2981
-56,980564;-19,6117
-43,343873;-20,793955
-54,538091;-19,444938
-44,610863;-22,449813
-48,641194;-26,976164
-48,987595;-27,086338
-43,554333;-22,864688
-51,461567;-25,351337
-36,418625;-7,392842
-67,841678;-9,978458
-48,657722;-28,0783
-48,659386;-28,078135
-48,675473;-28,14351
-43,481666;-22,867132
-51,216075;-30,036767
-52,357222;-24,155278
-43,974859;-19,896758
-45,837297;-23,267899
-43,219444;-22,967222
-43,228056;-22,965833
-42,893889;-22,964444
-51,863333;-25,917444
-48,39062;-22,82055
-41,481388;-12,969444
-48,433778;-22,845361
-40,756944;-20,308889
-42,108333;-22,788055
-42,111667;-22,723611
-41,024855;-20,399412
-41,024218;-20,398177
-41,024195;-20,398035
-48,294914;-1,228515
-46,224866;-23,555908
-46,745329;-23,750103
-47,053822;-22,745909
-47,187597;-23,116611
-40,713413;-14,780247
-40,398611;-14,772222
-37,191582;-5,653939
-37,023977;-5,568524
-37,013637;-5,554584
-37,195614;-5,654657
-37,021923;-5,562116
-37,013207;-5,556336
-37,013831;-5,556058
-37,013613;-5,556347
-37,046332;-5,564891
-37,04644;-5,564973
-44,00801;-19,858311
-40,756944;-20,308889
-47,608917;-15,453695
-42,893889;-22,964444
-42,497062;-22,310076
-35,5419;-7,33736
-43,888055;-20,129167
-45,646667;-3,275556
-42,802307;-5,096107
-48,474859;-27,644348
-40,070014;-19,151367
-49,781936;-26,105702
-40,165381;-19,177522
-40,111599;-19,071321
-48,765152;-28,52451
-40,072717;-19,150117
-43,184681;-22,962656
-43,186599;-22,963379
-43,18536;-22,963479
-40,071905;-19,151672
-43,190875;-22,959421
-42,585;-22,930833
-42,585;-22,930833
-53,508889;-27,030278
-40,0416;-13,5224
-40,04164;-13,5222
-53,508889;-27,030278
-51,761583;-29,954805
-40,790833;-20,287222
-47,054087;-22,745538
-43,699722;-19,144167
-38,584463;-7,049985
-39,956027;-18,303598
-37,166896;-5,645345
-37,064224;-5,579444
-37,086729;-5,5013
-37,046251;-5,564864
-37,045506;-5,566209
-37,046061;-5,564963
-37,046241;-5,564982
-37,046341;-5,564864
-35,787317;-5,267782
-35,203056;-5,8425
-40,710984;-18,878908
-40,777658;-18,941994
-40,696687;-18,944925
-47,581994;-15,456858
-46,659767;-23,586588
-45;-18,9
-43,448363;-22,902182
-43,448363;-22,902182
-43,448363;-22,902182
-43,448363;-22,902182
-43,448363;-22,902182
-52,382222;1,2325
-52,376944;1,195278
-50,178206;-26,392265
-39,065901;-8,109669
-38,949988;-4,252631
-57,737778;-21,631111
-48,764953;-28,395768
-50,653611;-25,476667
-41,319269;-19,208609
-46,574921;-23,534549
-44,358919;-22,730565
-46,919358;-23,194778
-38,949988;-4,252631
-38,949988;-4,252631
-36,426111;-9,078611
-38,485998;-3,745236
-40,223881;-18,361694
-35,116659;-7,386385
-46,464186;-23,862409
-35,016975;-7,150433
-40,293643;-9,071539
-46,786634;-24,181929
-47,81;-15,76
-40,325633;-20,388935
-46,493455;-23,020443
-47,927595;-19,739199
-54,951717;-2,499728
-52,855833;-0,511944
-49,304722;-28,8625
-49,304722;-28,8625
-39,425472;-7,238222
-39,50915;-7,522439
-37,457239;-9,850864
