"lat","long","x","y","FID"
-3.96,-43.56,-43.56,-3.96,0
-3.78,-43.38,-43.38,-3.78,0
-3.78,-42.84,-42.84,-3.78,0
-3.6,-43.92,-43.92,-3.6,0
-3.960278,-44.100833,-44.100833,-3.960278,0
-9.952899,-67.869246,-67.869246,-9.952899,0
-9.956831,-67.866552,-67.866552,-9.956831,0
-4.32,-43.02,-43.02,-4.32,0
-4.32,-43.2,-43.2,-4.32,0
-5.400833,-44.820278,-44.820278,-5.400833,0
-9.359444,-45.900278,-45.900278,-9.359444,0
-9.359444,-46.26,-46.26,-9.359444,0
-5.580278,-45.000278,-45.000278,-5.580278,0
-9,-56,-56,-9,0
-5.376667,-46.5,-46.5,-5.376667,0
-9.974167,-57.849167,-57.849167,-9.974167,0
-12.382073,-54.936976,-54.936976,-12.382073,0
-3.42,-43.2,-43.2,-3.42,0
-3.24,-42.84,-42.84,-3.24,0
-3.42,-43.38,-43.38,-3.42,0
-5.04,-45,-45,-5.04,0
-7.92,-46.799444,-46.799444,-7.92,0
-7.380833,-44.999722,-44.999722,-7.380833,0
-7.920556,-46.08,-46.08,-7.920556,0
-6.250556,-42.856389,-42.856389,-6.250556,0
-6.119167,-43.020278,-43.020278,-6.119167,0
-3.24,-43.38,-43.38,-3.24,0
-2.88,-42.84,-42.84,-2.88,0
-4.700833,-44.400278,-44.400278,-4.700833,0
-3.6,-42.66,-42.66,-3.6,0
-3.42,-42.3,-42.3,-3.42,0
-4.14,-44.64,-44.64,-4.14,0
-3.42,-42.48,-42.48,-3.42,0
-3.24,-43.92,-43.92,-3.24,0
-3.42,-42.66,-42.66,-3.42,0
-5.04,-45.54,-45.54,-5.04,0
-16.58,-57.679861,-57.679861,-16.58,0
-16.062417,-57.679861,-57.679861,-16.062417,0
-5.362778,-49.120556,-49.120556,-5.362778,0
-1.455556,-48.441389,-48.441389,-1.455556,0
-1.459722,-48.489722,-48.489722,-1.459722,0
-1.459444,-48.489722,-48.489722,-1.459444,0
-11.696389,-61.995556,-61.995556,-11.696389,0
-4.14,-43.92,-43.92,-4.14,0
-7.303722,-47.041528,-47.041528,-7.303722,0
-2.337778,-55.055833,-55.055833,-2.337778,0
-12.6,-47.88,-47.88,-12.6,0
-14.694056,-56.33975,-56.33975,-14.694056,0
-14.694167,-56.339722,-56.339722,-14.694167,0
-5.579722,-46.439722,-46.439722,-5.579722,0
-16.375033,-56.619848,-56.619848,-16.375033,0
-5.76,-46.44,-46.44,-5.76,0
-5.579722,-46.079722,-46.079722,-5.579722,0
-5.219722,-44.999722,-44.999722,-5.219722,0
-5.58,-45.9,-45.9,-5.58,0
-4.859722,-44.099722,-44.099722,-4.859722,0
-5.399722,-44.819722,-44.819722,-5.399722,0
-6.66,-43.938056,-43.938056,-6.66,0
-5.4,-43.200278,-43.200278,-5.4,0
-5.219722,-44.819722,-44.819722,-5.219722,0
-5.219722,-45.36,-45.36,-5.219722,0
-9.590555,-61.650556,-61.650556,-9.590555,0
-9.689744,-56.017213,-56.017213,-9.689744,0
-4.86,-44.28,-44.28,-4.86,0
-4.5,-43.2,-43.2,-4.5,0
-5.377778,-43.74,-43.74,-5.377778,0
-4.5,-43.02,-43.02,-4.5,0
-5.039722,-43.019722,-43.019722,-5.039722,0
-4.68,-43.188889,-43.188889,-4.68,0
-4.905,-43.47,-43.47,-4.905,0
-4.95,-42.93,-42.93,-4.95,0
-2.539083,-44.282889,-44.282889,-2.539083,0
