"lat","long","x","y"
-15.483889,-55.733611,-55.733611,-15.483889
-10.208056,-59.407222,-59.407222,-10.208056
-14.471667,-60.0625,-60.0625,-14.471667
-15.166667,-56.85,-56.85,-15.166667
-8.991944,-69.550833,-69.550833,-8.991944
-8.99,-69.55,-69.55,-8.99
-8.9919,-69.5508,-69.5508,-8.9919
-6.169167,-48.786944,-48.786944,-6.169167
-6.13,-48.28,-48.28,-6.13
-4.546028,-46.670533,-46.670533,-4.546028
-10.304722,-48.095833,-48.095833,-10.304722
-10.07,-67.62,-67.62,-10.07
-10.066667,-67.616667,-67.616667,-10.066667
-10.8339,-52.8731,-52.8731,-10.8339
-9.183333,-72.683333,-72.683333,-9.183333
-9.18,-72.68,-72.68,-9.18
-15.596111,-56.096667,-56.096667,-15.596111
-10.6552314,-68.5061282,-68.5061282,-10.6552314
-10.651667,-68.504444,-68.504444,-10.651667
-10.85,-68.8,-68.8,-10.85
-10.701232,-68.623756,-68.623756,-10.701232
-10.701111,-68.623889,-68.623889,-10.701111
-9.834319,-67.9535921,-67.9535921,-9.834319
-9.830833,-67.951944,-67.951944,-9.830833
-9.83,-67.95,-67.95,-9.83
-10.6554314,-68.5059282,-68.5059282,-10.6554314
-10.1,-48.433333,-48.433333,-10.1
-10.651944,-68.504167,-68.504167,-10.651944
-2.883333,-59.966667,-59.966667,-2.883333
-12.416667,-64.233333,-64.233333,-12.416667
-12.41666,-64.23333,-64.23333,-12.41666
-12.42,-61.23,-61.23,-12.42
-12.416667,-61.233333,-61.233333,-12.416667
-0.766667,-52.666667,-52.666667,-0.766667
3.383333,-61.433333,-61.433333,3.383333
-2.883333,-59.97,-59.97,-2.883333
-3.5,-45.25,-45.25,-3.5
-7.204003,-52.585459,-52.585459,-7.204003
-7.203889,-52.585556,-52.585556,-7.203889
0.816667,-63.316667,-63.316667,0.816667
-1.42,-48.45,-48.45,-1.42
-5.233333,-44.466667,-44.466667,-5.233333
-5.23,-44.47,-44.47,-5.23
-10.596416,-65.32546,-65.32546,-10.596416
-10.596389,-65.325556,-65.325556,-10.596389
-15.2297666,-59.3365041,-59.3365041,-15.2297666
-15.226111,-59.335278,-59.335278,-15.226111
1.133333,-51.45,-51.45,1.133333
0,-54,-54,0
-1.583333,-55.533333,-55.533333,-1.583333
-0.221111,-55.165833,-55.165833,-0.221111
-12,-48,-48,-12
-8.494444,-48.644722,-48.644722,-8.494444
-8.05,-50.17,-50.17,-8.05
-8.5006,-48.6008,-48.6008,-8.5006
-3.42,-48.62,-48.62,-3.42
-3.416667,-48.616667,-48.616667,-3.416667
-8.072222,-50.170833,-50.170833,-8.072222
-4.32,-44.67,-44.67,-4.32
-4.316667,-44.666667,-44.666667,-4.316667
-13.83,-58.92,-58.92,-13.83
-11.024918,-58.380441,-58.380441,-11.024918
-11.025,-58.380556,-58.380556,-11.025
-4.244292,-69.945893,-69.945893,-4.244292
-4.287311,-70.30503,-70.30503,-4.287311
-4.287222,-70.305,-70.305,-4.287222
-2.50117,-66.101475,-66.101475,-2.50117
-2.501111,-66.101389,-66.101389,-2.501111
-15.666667,-52.333333,-52.333333,-15.666667
