"lat","long","x","y"
-7.773697,-72.397383,-72.397383,-7.773697
-17.0815,-57.941889,-57.941889,-17.0815
-15.655556,-56.438889,-56.438889,-15.655556
-6.755522,-43.007342,-43.007342,-6.755522
-16.148333,-53.824167,-53.824167,-16.148333
-15.658056,-56.422222,-56.422222,-15.658056
-9.122222,-57.846944,-57.846944,-9.122222
1.063889,-61.421111,-61.421111,1.063889
-10.187222,-48.178611,-48.178611,-10.187222
-5.319667,-48.009167,-48.009167,-5.319667
-9.205833,-63.023333,-63.023333,-9.205833
-9.208889,-63.002222,-63.002222,-9.208889
-9.153333,-62.910278,-62.910278,-9.153333
-9.203889,-63.022222,-63.022222,-9.203889
-9.203889,-63.007778,-63.007778,-9.203889
-9.146111,-62.908056,-62.908056,-9.146111
-9.202778,-63.014167,-63.014167,-9.202778
-9.145833,-62.908333,-62.908333,-9.145833
-9.206111,-63.021667,-63.021667,-9.206111
-9.147222,-62.91,-62.91,-9.147222
-11.531667,-56.710833,-56.710833,-11.531667
-16.403333,-54.715278,-54.715278,-16.403333
-16.327697,-54.584118,-54.584118,-16.327697
-9.9521,-67.875393,-67.875393,-9.9521
-4.746562,-45.156208,-45.156208,-4.746562
-15.592159,-56.054817,-56.054817,-15.592159
-9.159722,-62.912222,-62.912222,-9.159722
-9.160833,-62.928333,-62.928333,-9.160833
-9.159167,-62.909722,-62.909722,-9.159167
-9.111944,-62.895,-62.895,-9.111944
-9.156111,-62.91,-62.91,-9.156111
-9.118056,-62.9,-62.9,-9.118056
-9.154722,-62.912778,-62.912778,-9.154722
-7.335956,-60.485647,-60.485647,-7.335956
-10.834167,-61.980833,-61.980833,-10.834167
-2.947973,-44.294711,-44.294711,-2.947973
-3.389167,-54.950556,-54.950556,-3.389167
-2.509225,-54.96198,-54.96198,-2.509225
-10.185556,-48.330833,-48.330833,-10.185556
-3.198611,-52.210278,-52.210278,-3.198611
-3.067402,-59.850897,-59.850897,-3.067402
-10.00225,-57.841747,-57.841747,-10.00225
-10.010562,-57.84161,-57.84161,-10.010562
-10.001658,-57.842938,-57.842938,-10.001658
-10.00141,-57.839446,-57.839446,-10.00141
-9.957595,-67.862496,-67.862496,-9.957595
-10.003333,-57.842222,-57.842222,-10.003333
-16.502286,-56.746863,-56.746863,-16.502286
-3.748023,-57.486673,-57.486673,-3.748023
-3.393259,-57.707219,-57.707219,-3.393259
-10.066111,-59.511111,-59.511111,-10.066111
-10.055556,-59.509722,-59.509722,-10.055556
-5.961111,-55.047778,-55.047778,-5.961111
-6.087222,-55.093611,-55.093611,-6.087222
-5.958333,-55.043611,-55.043611,-5.958333
-6.083611,-55.079444,-55.079444,-6.083611
-6.013889,-55.068333,-55.068333,-6.013889
-6.056389,-55.076389,-55.076389,-6.056389
-5.954444,-55.042778,-55.042778,-5.954444
-6.087778,-55.093889,-55.093889,-6.087778
3.408333,-61.598055,-61.598055,3.408333
-1.657682,-61.662953,-61.662953,-1.657682
-1.664929,-61.716893,-61.716893,-1.664929
-1.665892,-61.717984,-61.717984,-1.665892
-9.169722,-69.264444,-69.264444,-9.169722
-9.293672,-69.445678,-69.445678,-9.293672
-2.776252,-55.032615,-55.032615,-2.776252
-2.967222,-42.384444,-42.384444,-2.967222
-7.74,-46.98,-46.98,-7.74
-4.59,-43.875,-43.875,-4.59
-4.545,-43.83,-43.83,-4.545
-8.82,-46.62,-46.62,-8.82
-4.68,-43.74,-43.74,-4.68
-4.32,-44.28,-44.28,-4.32
-4.86,-43.92,-43.92,-4.86
-7.28,-46.976389,-46.976389,-7.28
-1.749167,-55.883056,-55.883056,-1.749167
-4.455,-43.56,-43.56,-4.455
-4.815,-43.02,-43.02,-4.815
-4.32,-44.1,-44.1,-4.32
-3.96,-43.92,-43.92,-3.96
-4.5,-44.28,-44.28,-4.5
-7.98,-46.976389,-46.976389,-7.98
-3.78,-43.56,-43.56,-3.78
-4.14,-43.56,-43.56,-4.14
-3.96,-43.2,-43.2,-3.96
-4.14,-43.74,-43.74,-4.14
-6.48,-45.18,-45.18,-6.48
-3.96,-44.1,-44.1,-3.96
-3.96,-43.56,-43.56,-3.96
-3.78,-43.38,-43.38,-3.78
-3.78,-42.84,-42.84,-3.78
-3.6,-43.92,-43.92,-3.6
-3.960278,-44.100833,-44.100833,-3.960278
-9.952899,-67.869246,-67.869246,-9.952899
-9.956831,-67.866552,-67.866552,-9.956831
-4.32,-43.02,-43.02,-4.32
-4.32,-43.2,-43.2,-4.32
-5.400833,-44.820278,-44.820278,-5.400833
-9.359444,-45.900278,-45.900278,-9.359444
-9.359444,-46.26,-46.26,-9.359444
-5.580278,-45.000278,-45.000278,-5.580278
-9,-56,-56,-9
-5.376667,-46.5,-46.5,-5.376667
-9.974167,-57.849167,-57.849167,-9.974167
-12.382073,-54.936976,-54.936976,-12.382073
-3.42,-43.2,-43.2,-3.42
-3.24,-42.84,-42.84,-3.24
-3.42,-43.38,-43.38,-3.42
-5.04,-45,-45,-5.04
-7.92,-46.799444,-46.799444,-7.92
-7.380833,-44.999722,-44.999722,-7.380833
-7.920556,-46.08,-46.08,-7.920556
-6.250556,-42.856389,-42.856389,-6.250556
-6.119167,-43.020278,-43.020278,-6.119167
-3.24,-43.38,-43.38,-3.24
-2.88,-42.84,-42.84,-2.88
-4.700833,-44.400278,-44.400278,-4.700833
-3.6,-42.66,-42.66,-3.6
-3.42,-42.3,-42.3,-3.42
-4.14,-44.64,-44.64,-4.14
-3.42,-42.48,-42.48,-3.42
-3.24,-43.92,-43.92,-3.24
-3.42,-42.66,-42.66,-3.42
-5.04,-45.54,-45.54,-5.04
-16.58,-57.679861,-57.679861,-16.58
-16.062417,-57.679861,-57.679861,-16.062417
-5.362778,-49.120556,-49.120556,-5.362778
-1.455556,-48.441389,-48.441389,-1.455556
-1.459722,-48.489722,-48.489722,-1.459722
-1.459444,-48.489722,-48.489722,-1.459444
