lon;lat
-49,547076;-28,703784
-47,258;-22,874
-43,321121;-22,984841
-47,686111;-22,241667
-47,686111;-22,241667
-43,755892;-22,263323
-43,755892;-22,263323
-43,755892;-22,263323
-47,686111;-22,241667
-47,686111;-22,241667
-47,686111;-22,241667
-41,276111;-12,719444
-41,276111;-12,719444
-43,614783;-21,852633
-43,614783;-21,852633
-43,614783;-21,852633
-63,662222;-10,790278
-53,294861;-23,627722
-43,522039;-22,996072
-45,229044;-23,314134
-44,994317;-23,201562
-45,034078;-23,205257
-44,994317;-23,201562
-45,229044;-23,314134
-44,979978;-23,205257
-44,994317;-23,201562
-45,229044;-23,314134
-45,034078;-23,205257
-45,034078;-23,205257
-44,994317;-23,201562
-45,229044;-23,314134
-53,294722;-23,6275
-52,574356;-23,680989
-51,958861;-24,369028
-49,65;-28,563056
-49,241667;-25,442222
-49,65;-28,563056
-43,614783;-21,852633
-43,755892;-22,263323
-51,958611;-24,368889
-44,994317;-23,201562
-45,229044;-23,314134
-45,034078;-23,205257
-48,88922;-25,37083
-48,889167;-25,359722
-43,614783;-21,852633
-43,755892;-22,263323
-40,733333;-4,255
-48,889167;-25,359722
-62,251944;-8,958056
-62,251944;-8,958056
-41,821944;-20,341944
-41,823889;-20,339444
-41,821944;-20,341944
-41,823889;-20,339444
-39,173333;-14,795278
-39,173333;-14,795278
-39,173333;-14,795278
-39,173333;-14,795278
-52,173285;-27,262224
-45,015671;-21,166111
-49,241667;-25,4425
-49,353056;-26,300278
-49,353056;-26,300278
-49,353056;-26,300278
-49,206944;-26,591667
-52,566861;-23,682861
-49,206944;-26,591666
-49,206944;-26,591667
-50,675;-24,383889
-50,675;-24,383889
-50,675;-24,383889
-49,206944;-26,591667
-50,675;-24,383889
-49,353056;-26,300278
-50,675;-24,383889
-40,916136;-5,017384
-47,968913;-15,778194
-48,656186;-23,052166
-48,650753;-23,053522
-48,635865;-23,043007
-48,639063;-23,046254
-48,637369;-23,046303
-48,636994;-23,047134
-48,650626;-23,04529
-44,271444;-15,08625
-44,271861;-15,086194
-44,271861;-15,086194
-44,271444;-15,08625
-44,272194;-15,087
-44,271806;-15,087222
-44,271972;-15,087611
-44,269917;-15,085889
-44,266333;-15,085472
-44,266611;-15,085806
-44,266972;-15,085472
-44,267194;-15,084639
-44,270333;-15,0855
-44,281722;-15,08975
-44,267083;-15,084611
-44,270278;-15,0855
-44,272111;-15,086472
-44,270278;-15,0855
-44,266694;-15,090083
-44,26725;-15,089167
-51,177;-29,99
-50,156667;-28,201389
-50,156667;-28,201389
-50,130278;-27,541111
-50,130278;-27,541111
-51,932222;-23,425556
-43,960278;-19,559444
-38,183497;-10,728114
-59,504722;-10,054444
-43,11;-22,476944
-54,405556;-23,886944
-54,361944;-24,844167
-42,551522;-19,569701
-54,865556;-20,451111
-47,686111;-22,241667
-47,686111;-22,241666
-37,183611;-8,381667
-37,305555;-8,636112
-37,183586;-8,381781
-51,845944;-25,945333
-51,854417;-25,922306
-51,854444;-25,922222
-51,845833;-25,945278
-43,235278;-18,77
-51,845833;-25,945278
-51,845833;-25,945278
-50,361667;-16,116944
-51,876667;-26,098889
-51,876667;-26,098889
-51,876667;-26,098889
-46,718058;-23,556064
-43,284722;-22,95
-43,284722;-22,95
-42,738055;-22,415556
-42,738056;-22,782222
-53,498333;-25,516944
-43;-19
-37,328289;-9,239056
-43;-19
-37,321944;-9,252778
-37,321944;-9,252778
-49,192778;-10,600556
-41,918611;-21,879722
-42,7375;-22,396944
-44,538055;-22,333056
-49,322222;-27,811667
-49,322222;-27,811667
-44,538055;-22,333056
-44,53805;-22,33305
-48,120556;-11,448889
-50,4;-16,92
-46,735194;-23,560583
-46,734944;-23,560556
-46,734833;-23,560722
-54,548056;-25,480556
-54,548056;-25,480556
-41,289722;-21,760833
-39,703056;-4,745
-56;-9
-67,86;-10,26
-63,999167;-12,291389
-56,935833;-9,851667
-63,999167;-12,291389
-56;-9
-57,722222;-17,568056
-51,84;-18
-51,84;-18
-56,420278;-9,64
-51,84;-18
-51,939309;-23,404419
-56,52;-21,78
-44,240861;-15,125333
-44,240917;-15,125556
-44,242306;-15,124111
-44,243222;-15,121083
-44,243;-15,121333
-44,243806;-15,124778
-44,242833;-15,121306
-44,246778;-15,123139
-44,247333;-15,124111
-44,242917;-15,123278
-56,52;-21,78
-54,573611;-25,493056
-54,580278;-25,504444
-43,966944;-19,536389
-54,573611;-25,493056
-54,580278;-25,504444
-54,573611;-25,493056
-56,52;-21,78
-53,641389;-26,909444
-52,783611;-26,953611
-53,641389;-26,909444
-52,783611;-26,953611
-51,95;-23,416667
-51,95;-23,416667
-51,932778;-23,856667
-52,984722;-24,416389
-42,419167;-19,403889
-52,783611;-26,953611
-53,641389;-26,909444
-51,95;-23,416667
-52,984722;-24,416389
-55,222222;-23,160556
-56,750556;-20,784722
-44,233333;-15,116667
-44,233333;-15,116667
-51,028611;-27,7175
-50,506667;-27,715556
-50,506667;-27,715556
-51,028611;-27,7175
-46,938056;-12,931389
-51,113056;-29,399167
-48,040556;-25,2175
-50;-19
-44,034889;-19,42675
-50;-20
-44,034722;-19,426667
-54,261389;-25,390278
-56,33975;-14,694056
-56,845555;-14,698888
-56,339722;-14,694167
-56,845556;-14,698889
-56,993056;-9,319444
-68,951111;-9,131111
-47,041861;-7,266083
-37,800272;-7,02006
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44,249944;-15,110833
-44,251;-15,091722
-44,251;-15,091667
-44,250444;-15,091417
-44,251306;-15,091833
-44,250306;-15,091806
-45,07;-23,43
-57,036389;-9,2425
-56,993889;-9,305833
-45;-5,219722
-43,38;-5,58
-43,38;-5,58
-55,916111;-9,587222
-57,0075;-9,275556
-53,087778;-25,716389
-43,38;-4,95
-43,38;-4,95
-52,133;-24,762167
-52,132778;-24,761944
-52,133056;-24,762222
-49,409444;-26,315833
-49,383333;-26,241667
-65,023056;-11,880833
-50,312222;-29,681944
-50,312222;-29,681944
-49,383333;-26,241667
-49,409444;-26,315833
-65,023056;-11,880833
-41,919722;-21,877778
-41,919167;-21,878611
-41,919167;-21,878611
-41,919166;-21,878611
-41,919722;-21,877778
-41,919722;-21,877778
-41,919167;-21,928611
-49,041667;-26,533611
-49,041667;-26,533611
-49,041667;-26,533611
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44;-15
-44;-14
-44;-15
-44;-14
-44;-15
-43,285278;-22,956389
-62,903889;-9,251944
-44,118636;-19,423047
-62,82;-10,08
-44,118611;-19,422778
-49,332778;-26,614444
-56,086111;-15,620528
-49,332778;-26,614444
-51,253652;-23,448251
-51,253652;-23,448251
-51,324371;-23,406116
-51,324371;-23,406116
-51,324371;-23,406116
-44;-14
-50,133056;-18,426111
-40,94;-3,838333
-49,285483;-25,168636
-37,89;-9,27
-44,9;-23,326389
-44,249167;-15,087778
-44,035383;-19,427375
-47,186364;-15,349242
-47,185222;-15,352708
-44,634167;-23,292222
-61,335683;-11,387872
-48,464722;-27,562778
-51,714444;-17,881389
-51,714444;-17,881389
-36,984389;-8,449942
-49,078889;-26,905556
-41,793888;-15,564722
-49,078889;-26,905556
-41,793889;-15,564722
-52,019722;-27,18
-52,019722;-27,18
-50,950736;-22,936083
-51,880833;-3,381944
-54,600556;-10,424944
-56,043611;-10,595833
